date,neo_id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,is_sentry_object,close_approach_date,close_approach_date_full,relative_velocity_kph,relative_velocity_kps,miss_distance_km,miss_distance_lunar,miss_distance_au,orbiting_body,nasa_jpl_url
2020-06-24,3740028,3740028,(2016 AX164),26.2,0.0152951935,0.0342010925,False,False,2020-06-24,2020-Jun-24 04:56,30157.2910219167,8.3770252839,55938038.103308383,145.4559267601,0.3739226909,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3740028
2020-06-24,2441987,2441987,441987 (2010 NY65),21.35,0.1427430515,0.3191831664,True,False,2020-06-24,2020-Jun-24 06:44,46392.8474386786,12.8869020663,3757777.065808921,9.7713642487,0.0251191883,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2441987
2020-06-24,3968754,3968754,(2019 YA5),26.0,0.0167708462,0.0375007522,False,False,2020-06-24,2020-Jun-24 02:31,12985.7523315362,3.6071534254,31989993.501173852,83.1837209444,0.2138398996,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3968754
2020-06-24,3840123,3840123,(2019 FD),23.3,0.058150704,0.130028927,False,False,2020-06-24,2020-Jun-24 04:29,17784.3075930624,4.9400854425,32537236.437195549,84.6067191603,0.2174979927,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3840123
2020-06-25,3283248,3283248,(2005 MN13),20.79,0.1847374636,0.4130855266,False,False,2020-06-25,2020-Jun-25 21:31,44505.7239363678,12.3627010934,50403199.787920766,131.0636623202,0.3369245818,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3283248
2020-06-25,3363696,3363696,(2006 XO4),23.4,0.0555334912,0.1241766613,False,False,2020-06-25,2020-Jun-25 08:00,54814.8660589177,15.226351683,62866943.619249319,163.4731902793,0.4202395637,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3363696
2020-06-25,3558381,3558381,(2011 EC12),25.8,0.0183888672,0.0411187571,False,False,2020-06-25,2020-Jun-25 00:48,68010.6473429659,18.8918464842,72130056.699784648,187.5601040056,0.4821596504,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3558381
2020-06-25,3795032,3795032,(2017 YP3),21.29,0.1467421834,0.3281254972,False,False,2020-06-25,2020-Jun-25 21:50,71493.9387772748,19.8594274381,22821381.574634967,59.3425389849,0.1525515141,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3795032
2020-06-25,3799683,3799683,(2018 DC),24.7,0.0305179233,0.0682401509,False,False,2020-06-25,2020-Jun-25 17:55,28912.2035365029,8.031167649,34543979.006612421,89.8248606987,0.2309122383,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3799683
2020-06-25,2437844,2437844,437844 (1999 MN),21.01,0.1669379118,0.3732845187,True,False,2020-06-25,2020-Jun-25 01:34,47133.3466636153,13.0925962954,15605795.676498231,40.5798192057,0.1043183013,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2437844
2020-06-25,3724213,3724213,(2015 OO),22.2,0.096506147,0.2157943048,False,False,2020-06-25,2020-Jun-25 10:09,54498.143540651,15.1383732057,27154382.676225912,70.6096608264,0.1815158376,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3724213
2020-06-26,2286080,2286080,286080 (2001 TX1),21.24,0.1501602479,0.3357685218,True,False,2020-06-26,2020-Jun-26 13:36,32397.259472041,8.9992387422,40959852.644708776,106.5080851672,0.2737997048,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2286080
2020-06-26,3837901,3837901,(2019 AC13),22.5,0.0840533402,0.1879489824,False,False,2020-06-26,2020-Jun-26 20:09,68992.4176382614,19.1645604551,63213759.308348358,164.3750166426,0.4225578834,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837901
2020-06-26,3612847,3612847,(2012 UE34),23.3,0.058150704,0.130028927,False,False,2020-06-26,2020-Jun-26 11:40,41550.7706794721,11.5418807443,54063762.75732058,140.582240326,0.361393934,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3612847
2020-06-26,3720863,3720863,(2015 HQ182),24.77,0.0295498293,0.0660754271,False,False,2020-06-26,2020-Jun-26 17:18,50251.7521282021,13.9588200356,39611340.508814673,103.0015431231,0.2647854579,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3720863
2020-06-26,3751815,3751815,(2016 GS220),22.78,0.0738847787,0.1652113876,False,False,2020-06-26,2020-Jun-26 00:32,37593.8429737237,10.4427341594,64251342.324424325,167.0730483275,0.4294936975,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3751815
2020-06-26,3767038,3767038,(2017 BG29),24.2,0.0384197891,0.0859092601,False,False,2020-06-26,2020-Jun-26 10:21,30267.1465427076,8.4075407063,69848155.073009387,181.6264651589,0.4669060801,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3767038
2020-06-26,3773664,3773664,(2017 FW128),27.38,0.0088829042,0.0198627775,False,False,2020-06-26,2020-Jun-26 04:39,19783.4048618088,5.4953902394,2412092.1202208,6.27217376,0.01612384,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3773664
2020-06-26,3837532,3837532,(2018 YU2),26.5,0.0133215567,0.0297879063,False,False,2020-06-26,2020-Jun-26 16:18,66063.2618002936,18.3509060556,72863327.339752153,189.4668308791,0.4870612619,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837532
2020-06-27,2829223,2829223,829223 (2006 CT),22.28,0.0930154254,0.2079888141,False,False,2020-06-27,2020-Jun-27 06:59,38644.2267450988,10.7345074292,20015832.9791546,52.04725862,0.13379758,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2829223
2020-06-27,3321492,3321492,(2006 CT),22.28,0.0930154254,0.2079888141,False,False,2020-06-27,2020-Jun-27 06:59,38644.2267783052,10.7345074384,20015833.038993748,52.0472587756,0.1337975804,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3321492
2020-06-27,3609165,3609165,(2012 SZ49),22.9,0.0699125232,0.1563291544,False,False,2020-06-27,2020-Jun-27 16:04,63340.873891205,17.594687192,71257401.909592458,185.2909359126,0.4763263134,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3609165
2020-06-27,3843225,3843225,(2019 NQ5),25.1,0.0253837029,0.0567596853,False,False,2020-06-27,2020-Jun-27 04:11,79636.7328687212,22.1213146858,63568914.659825861,165.2985286667,0.4249319503,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843225
2020-06-27,3775251,3775251,(2017 MD),24.4,0.0350392641,0.0783501764,False,False,2020-06-27,2020-Jun-27 14:27,67999.3713892534,18.8887142748,34424866.115762086,89.5151309242,0.2301160178,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3775251
2020-06-27,3841756,3841756,(2019 JN2),25.65,0.0197040262,0.044059542,False,False,2020-06-27,2020-Jun-27 16:02,18906.5316275825,5.251814341,25913703.826583079,67.3835181513,0.1732224117,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3841756
2020-06-27,3759723,3759723,(2016 SW1),28.5,0.0053034072,0.0118587791,False,False,2020-06-27,2020-Jun-27 14:27,22939.9969727665,6.3722213813,62124484.079714934,161.5425694698,0.4152765282,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3759723
2020-06-27,3740662,3740662,(2016 AX147),17.65,0.7844314124,1.7540419619,False,False,2020-06-27,2020-Jun-27 08:25,68023.5110900104,18.8954197472,67227375.225640056,174.8116397832,0.4493872488,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3740662
2020-06-27,3720924,3720924,(2015 LA2),23.01,0.0664591797,0.1486072436,False,False,2020-06-27,2020-Jun-27 17:00,23669.6738153477,6.5749093932,17121074.207143949,44.5200046403,0.1144473127,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3720924
2020-06-28,3596143,3596143,(2012 BS23),21.5,0.1332155667,0.2978790628,True,False,2020-06-28,2020-Jun-28 18:45,47725.5251751948,13.2570903264,10338425.936047404,26.8830544788,0.0691081092,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3596143
2020-06-28,3152316,3152316,(2003 GJ21),22.9,0.0699125232,0.1563291544,False,False,2020-06-28,2020-Jun-28 01:39,51612.678134329,14.3368550373,59308827.978946952,154.2210065144,0.3964550296,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3152316
2020-06-28,3655971,3655971,(2014 AN51),20.46,0.21505769,0.4808836139,False,False,2020-06-28,2020-Jun-28 18:02,47498.7893287352,13.1941081469,33564696.659081587,87.2784284989,0.2243661401,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3655971
2020-06-28,3518083,3518083,(2010 EC135),20.26,0.235806068,0.5272783976,False,False,2020-06-28,2020-Jun-28 17:18,23001.185706665,6.3892182519,28178926.173480773,73.2737857931,0.1883644879,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3518083
2020-06-28,3532367,3532367,(2010 LU108),19.95,0.2719912773,0.6081909854,False,False,2020-06-28,2020-Jun-28 02:21,77023.8844180279,21.3955234495,35255435.045819934,91.6748629698,0.2356680282,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3532367
